product_id,product_cost,product_weight,begin_eff_date,end_eff_date
4cda01b9-62e2-46c5-830f-b7f262a58fb1,6.1,0.1,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
689fb64e-a4a2-45c5-b9f2-480c2155624d,7.32,0.15,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
55c6a062-5f4a-4a8b-a8e5-05ea5e6715a3,13.05,0.3,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
be49171b-9f72-4fc9-bf7a-9a52e259836b,15.7325,0.35,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
fb0e8be7-5ac4-4a76-a1fa-2cc4bf0b2d80,18.515,0.35,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
b66a7143-c18a-43bb-b5dc-06bb5d1d3160,10.25,0.3,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
e8b6528e-a830-4d03-a027-473b411c7f02,8.415,0.2,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
c7050c3b-a898-424d-8d98-ab0aaad7bef4,20.3,0.5,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
bb19d194-e1bd-4358-819e-cd1f1b401c0c,7.44,0.2,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
b86ae24b-6f59-47e8-8adc-b17d88cbd367,4.49,0.15,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
e5ee99b6-519f-4218-8b41-62f48f59f700,8.435,0.2,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
05df0866-1a66-41d8-9ed7-e2bbcddd6a3d,4.7,0.15,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
e706ab70-b396-4d30-a6b2-a1ccf3625b52,20.52,0.5,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
843b6553-dc6a-4fc4-bceb-02cd39af0168,6.2775,0.3,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
5b50b820-1d0a-4231-9422-75e7f6b0cecf,5.535,0.3,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
58b575f2-2192-4a53-9d21-df9a0c14fc25,44.65,0.6,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
a88a23ef-679c-4743-b151-dc7722040d8c,7.5,0.15,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
74aeb414-e3dd-4e8a-beef-0fa45225214d,11.45,0.3,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
5ceddd13-cf00-481f-9285-8340ab95d06d,23.1,0.4,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
64d39754-03e4-4fa0-b1ea-5f4293315f67,5.7,0.15,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
d3e228db-8ca5-42ad-bb0a-2148e876cc59,10.37,0.3,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
c17e63f7-0d28-4a95-8248-b01ea354840e,5.2,0.1,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
35550082-a52d-4301-8f06-05b30f6f3616,5.33,0.1,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
6f3a3072-a24d-4d11-9cef-25b0b5f8a4af,41.8,0.5,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
80eda933-749d-4fc6-91d5-613d29eb126f,24.38,0.4,1900-01-01T00:00:00-00:00,2024-12-31T00:00:00-00:00
37e0062f-bd15-4c3e-b272-558a86d90598,12.06,0.3,1900-01-01T00:00:00-00:00,2021-02-10T23:59:59-00:00
615695d3-8ffd-4850-bcf7-944cf6d3685b,4.05,0.1,1900-01-01T00:00:00-00:00,2021-02-10T23:59:59-00:00
579f4cd0-1f45-49d2-af55-9ab2b72c3b35,4.71,0.1,1900-01-01T00:00:00-00:00,2021-02-10T23:59:59-00:00
e18f33a6-b89a-4fbc-82ad-ccba5bb261cc,37.14,0.6,1900-01-01T00:00:00-00:00,2021-02-10T23:59:59-00:00
e2e78dfc-f25c-4fec-a002-8e280d61a2f2,5.4,0.15,1900-01-01T00:00:00-00:00,2021-02-10T23:59:59-00:00
37e0062f-bd15-4c3e-b272-558a86d90598,12.06,0.3,2021-02-11T00:00:00-00:00,2024-12-31T00:00:00-00:00
615695d3-8ffd-4850-bcf7-944cf6d3685b,4.05,0.1,2021-02-11T00:00:00-00:00,2024-12-31T00:00:00-00:00
579f4cd0-1f45-49d2-af55-9ab2b72c3b35,4.71,0.1,2021-02-11T00:00:00-00:00,2024-12-31T00:00:00-00:00
e18f33a6-b89a-4fbc-82ad-ccba5bb261cc,37.14,0.6,2021-02-11T00:00:00-00:00,2024-12-31T00:00:00-00:00
e2e78dfc-f25c-4fec-a002-8e280d61a2f2,5.4,0.15,2021-02-11T00:00:00-00:00,2024-12-31T00:00:00-00:00
